iter	Passed	Remaining
0	3	787
1	8	810
2	12	796
3	15	756
4	19	743
5	24	781
6	28	788
7	33	798
8	36	775
9	39	756
10	43	753
11	47	751
12	51	739
13	54	726
14	58	718
15	62	715
16	66	713
17	70	709
18	74	706
19	78	702
20	81	695
21	84	687
22	88	677
23	92	679
24	96	677
25	100	671
26	103	662
27	106	656
28	110	652
29	114	650
30	118	644
31	121	639
32	126	638
33	130	636
34	133	630
35	136	623
36	141	621
37	145	621
38	149	617
39	152	611
40	157	609
41	161	606
42	164	602
43	168	595
44	172	592
45	175	589
46	179	585
47	182	579
48	186	574
49	191	573
50	195	571
51	198	565
52	202	560
53	206	557
54	210	554
55	213	549
56	216	544
57	220	540
58	224	536
59	228	533
60	231	528
61	235	524
62	239	521
63	243	517
64	246	512
65	250	508
66	254	505
67	258	501
68	261	497
69	265	493
70	269	489
71	273	485
72	277	481
73	287	489
74	303	505
75	321	525
76	326	521
77	333	521
78	338	518
79	343	514
80	346	509
81	349	503
82	354	499
83	358	495
84	361	489
85	365	483
86	369	480
87	374	476
88	377	470
89	380	465
90	384	460
91	388	456
92	392	451
93	395	445
94	399	441
95	403	436
96	406	432
97	410	427
98	413	422
99	418	418
100	422	413
101	425	409
102	429	404
103	434	400
104	438	396
105	441	391
106	445	387
107	449	382
108	453	378
109	457	374
110	460	369
111	464	365
112	468	360
113	472	356
114	475	351
115	478	346
116	483	342
117	487	338
118	491	334
119	494	329
120	498	325
121	502	321
122	505	316
123	508	311
124	511	307
125	516	303
126	520	299
127	524	294
128	528	290
129	533	287
130	537	283
131	541	279
132	544	274
133	549	270
134	553	266
135	556	261
136	559	257
137	564	253
138	568	249
139	571	244
140	574	240
141	579	236
142	583	232
143	586	228
144	589	223
145	593	219
146	597	215
147	601	211
148	605	207
149	608	202
150	612	198
151	616	194
152	620	190
153	624	186
154	628	182
155	633	178
156	636	174
157	639	170
158	642	165
159	647	161
160	651	157
161	654	153
162	657	149
163	661	145
164	664	141
165	668	136
166	672	132
167	675	128
168	678	124
169	682	120
170	685	116
171	688	112
172	692	108
173	695	103
174	698	99
175	701	95
176	705	91
177	708	87
178	713	83
179	716	79
180	719	75
181	723	71
182	727	67
183	731	63
184	735	59
185	738	55
186	742	51
187	746	47
188	749	43
189	753	39
190	756	35
191	760	31
192	765	27
193	768	23
194	772	19
195	777	15
196	781	11
197	784	7
198	788	3
199	792	0
